WeatherPy_Database.csv,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,58.48,71,47,4.76,scattered clouds
1,Qaanaaq,GL,77.484,-69.3632,-5.93,94,100,3.51,overcast clouds
2,Ha Tinh,VN,18.3333,105.9,85.98,65,43,8.59,scattered clouds
3,Castro,BR,-24.7911,-50.0119,60.12,97,28,1.68,scattered clouds
4,Ozernovskiy,RU,51.5,156.5167,30.18,66,100,23.42,overcast clouds
5,Carnarvon,AU,-24.8667,113.6333,80.67,65,0,17.27,clear sky
6,Thompson,CA,55.7435,-97.8558,10.56,61,100,17.27,overcast clouds
7,Dingle,PH,10.9995,122.6711,86.92,64,88,4.34,overcast clouds
8,Upernavik,GL,72.7868,-56.1549,-14.57,100,93,5.3,overcast clouds
9,Tuy Hoa,VN,13.0833,109.3,87.93,64,99,5.28,overcast clouds
10,Saldanha,ZA,-33.0117,17.9442,60.85,88,100,20.67,overcast clouds
11,Dikson,RU,73.5069,80.5464,23.99,91,99,7.61,overcast clouds
12,Hobart,AU,-42.8794,147.3294,68.02,57,75,5.75,light rain
13,Beringovskiy,RU,63.05,179.3167,31.82,99,100,11.03,snow
14,Port Alfred,ZA,-33.5906,26.891,62.19,95,80,1.01,broken clouds
15,San Quintin,MX,30.4833,-115.95,57.76,72,6,13.89,clear sky
16,Mar Del Plata,AR,-38.0023,-57.5575,57.87,69,0,5.99,clear sky
17,Punta Arenas,CL,-53.15,-70.9167,51.91,62,20,34.52,few clouds
18,Chokurdakh,RU,70.6333,147.9167,5.4,87,6,5.93,clear sky
19,New Norfolk,AU,-42.7826,147.0587,67.66,35,100,4.32,light rain
20,Oranjemund,NA,-28.55,16.4333,56.98,92,95,6.31,overcast clouds
21,Lakes Entrance,AU,-37.8811,147.981,65.91,59,71,4.92,broken clouds
22,Vaini,TO,-21.2,-175.2,80.76,94,20,9.22,few clouds
23,Khatanga,RU,71.9667,102.5,9.0,90,100,10.25,overcast clouds
24,Vredendal,ZA,-31.6683,18.5012,62.8,82,100,5.17,overcast clouds
25,Bredasdorp,ZA,-34.5322,20.0403,62.4,82,100,3.78,overcast clouds
26,Airai,TL,-8.9266,125.4092,69.96,79,100,0.83,overcast clouds
27,Arteaga,MX,18.4667,-102.4167,65.53,73,100,2.93,overcast clouds
28,Khlevnoye,RU,52.1951,39.0932,44.62,86,100,17.16,overcast clouds
29,Kodiak,US,57.79,-152.4072,38.71,60,0,10.36,clear sky
30,Kayes,ML,14.0,-11.0,85.39,13,80,4.7,broken clouds
31,Kaitangata,NZ,-46.2817,169.8464,60.19,66,41,5.08,scattered clouds
32,Yerbogachen,RU,61.2767,108.0108,34.14,97,100,15.05,light snow
33,Georgetown,MY,5.4112,100.3354,91.35,66,40,9.22,scattered clouds
34,Ust-Tsilma,RU,65.441,52.1498,32.81,98,100,10.85,snow
35,Klaksvik,FO,62.2266,-6.589,41.92,86,62,19.08,broken clouds
36,Bluff,NZ,-46.6,168.3333,58.8,76,78,23.29,broken clouds
37,Navrongo,GH,10.8956,-1.0921,83.55,55,71,10.36,broken clouds
38,Apache Junction,US,33.4151,-111.5496,64.06,16,0,5.75,clear sky
39,Aksarka,RU,66.5606,67.7975,33.98,100,100,5.59,overcast clouds
40,Hasaki,JP,35.7333,140.8333,50.4,86,100,27.04,overcast clouds
41,Rikitea,PF,-23.1203,-134.9692,78.35,70,8,18.1,clear sky
42,Vila Velha,BR,-20.3297,-40.2925,78.75,93,0,3.44,clear sky
43,Hermanus,ZA,-34.4187,19.2345,61.72,88,100,10.04,light rain
44,Severo-Kurilsk,RU,50.6789,156.125,30.49,72,91,27.04,overcast clouds
45,Turmalina,BR,-17.2856,-42.73,67.15,94,64,1.9,broken clouds
46,Iracoubo,GF,5.4802,-53.2011,76.39,88,98,13.15,overcast clouds
47,Cape Town,ZA,-33.9258,18.4232,63.88,82,0,17.27,clear sky
48,Dunda,TZ,-8.1167,34.25,65.57,92,92,1.03,overcast clouds
49,Deputatskiy,RU,69.3,139.9,6.6,90,100,4.29,overcast clouds
50,Flin Flon,CA,54.7682,-101.865,18.82,86,100,14.18,overcast clouds
51,Puerto Ayora,EC,-0.7393,-90.3518,76.17,92,71,6.35,broken clouds
52,Victoria,HK,22.2855,114.1577,85.96,66,0,8.99,clear sky
53,Alihe,CN,50.5667,123.7167,45.81,22,37,6.85,scattered clouds
54,Margate,GB,51.3813,1.3862,50.7,87,2,3.0,clear sky
55,Santa Cruz Do Rio Pardo,BR,-22.8989,-49.6325,64.89,96,63,1.3,broken clouds
56,Provideniya,RU,64.3833,-173.3,32.36,100,100,11.18,mist
57,Ahuimanu,US,21.4447,-157.8378,78.51,75,20,13.8,few clouds
58,Arua,UG,3.0201,30.9111,69.91,75,59,3.09,broken clouds
59,Sangar,RU,63.9242,127.4739,28.96,93,100,15.59,light snow
60,Esperance,AU,-33.8667,121.9,64.24,75,99,13.65,overcast clouds
61,East London,ZA,-33.0153,27.9116,66.51,84,100,9.35,overcast clouds
62,Hilo,US,19.7297,-155.09,73.27,88,75,5.75,light rain
63,Ostrovnoy,RU,68.0531,39.5131,19.76,88,92,6.89,overcast clouds
64,Vila Franca Do Campo,PT,37.7167,-25.4333,54.01,80,14,5.77,few clouds
65,Vardo,NO,70.3705,31.1107,30.38,80,80,4.94,broken clouds
66,Nicoya,CR,10.1483,-85.452,79.36,72,75,6.22,broken clouds
67,Longyearbyen,SJ,78.2186,15.6401,17.44,73,75,6.91,broken clouds
68,Lazaro Cardenas,MX,17.9583,-102.2,75.06,88,100,1.83,overcast clouds
69,Tautira,PF,-17.7333,-149.15,82.2,73,35,20.13,scattered clouds
70,Yar-Sale,RU,66.8333,70.8333,33.66,99,100,10.42,overcast clouds
71,Salalah,OM,17.0151,54.0924,84.29,70,20,4.61,few clouds
72,Nizhniy Baskunchak,RU,48.2198,46.8311,46.51,58,100,17.87,overcast clouds
73,Sorong,ID,-0.8833,131.25,84.09,71,100,5.39,overcast clouds
74,Great Falls,US,47.5002,-111.3008,16.25,85,100,8.05,overcast clouds
75,Busselton,AU,-33.65,115.3333,72.66,37,0,2.08,clear sky
76,Telma,RU,52.6983,103.7097,43.21,34,72,5.17,broken clouds
77,Half Moon Bay,US,37.4636,-122.4286,54.79,71,100,3.44,overcast clouds
78,Albany,US,42.6001,-73.9662,61.92,76,95,3.13,overcast clouds
79,Butaritari,KI,3.0707,172.7902,81.48,77,60,14.0,light rain
80,Atuona,PF,-9.8,-139.0333,79.52,78,39,17.09,light rain
81,Griffith,US,41.5284,-87.4237,45.25,83,100,21.85,overcast clouds
82,Kapaa,US,22.0752,-159.319,78.78,86,100,13.8,overcast clouds
83,Panguna,PG,-6.3164,155.4848,75.4,85,86,1.79,moderate rain
84,Ushtobe,KZ,45.2514,77.9838,69.08,25,86,7.31,overcast clouds
85,Sosnovo-Ozerskoye,RU,52.5249,111.5418,37.85,34,79,18.32,broken clouds
86,Ushuaia,AR,-54.8,-68.3,46.06,76,20,32.21,few clouds
87,Luderitz,NA,-26.6481,15.1594,59.05,82,14,9.1,few clouds
88,Saint George,US,37.1041,-113.5841,52.95,15,0,6.91,clear sky
89,Pevek,RU,69.7008,170.3133,8.73,86,96,3.29,overcast clouds
90,Talnakh,RU,69.4865,88.3972,29.21,93,100,11.48,light snow
91,Rundu,NA,-17.9333,19.7667,65.79,78,100,4.52,overcast clouds
92,Chengde,CN,40.9725,117.9361,58.82,23,57,12.82,broken clouds
93,Saint-Philippe,RE,-21.3585,55.7679,82.22,88,45,15.37,light rain
94,Komsomolskiy,UZ,40.4272,71.7189,75.92,33,5,9.22,clear sky
95,Ahipara,NZ,-35.1667,173.1667,63.84,62,88,12.19,overcast clouds
96,Fare,PF,-16.7,-151.0167,81.64,74,26,17.47,light rain
97,Jamestown,US,42.097,-79.2353,64.04,42,75,9.22,broken clouds
98,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,77,0,8.05,clear sky
99,Muswellbrook,AU,-32.2667,150.9,68.32,66,38,9.8,scattered clouds
100,Bayangol,RU,50.6977,103.4656,36.19,35,95,5.7,overcast clouds
101,Saintes,FR,45.6667,-0.75,53.35,89,100,5.39,overcast clouds
102,Saint Cloud,US,45.5608,-94.1625,30.74,61,0,12.66,clear sky
103,Nikolskoye,RU,59.7035,30.7861,40.87,78,94,3.2,overcast clouds
104,Polunochnoye,RU,60.8697,60.4153,37.65,99,100,2.66,overcast clouds
105,Camana,PE,-16.6228,-72.7111,66.54,84,53,7.56,broken clouds
106,Kununurra,AU,-15.7667,128.7333,93.18,55,40,6.91,scattered clouds
107,Spring Valley,US,36.108,-115.245,60.12,13,0,8.05,clear sky
108,Sola,VU,-13.8833,167.55,83.64,66,17,10.74,few clouds
109,Ribeira Grande,PT,38.5167,-28.7,59.09,65,1,14.14,clear sky
110,Mwinilunga,ZM,-11.7358,24.4293,62.29,92,99,2.75,overcast clouds
111,Narsaq,GL,60.9167,-46.05,46.62,62,96,4.12,overcast clouds
112,Takoradi,GH,4.8845,-1.7554,78.98,85,93,8.61,overcast clouds
113,Bonavista,CA,48.6499,-53.1147,30.74,87,100,27.49,overcast clouds
114,Vila,PT,42.0304,-8.1588,41.88,93,100,3.24,overcast clouds
115,Seymchan,RU,62.8833,152.4333,18.3,75,100,10.25,overcast clouds
116,Tasiilaq,GL,65.6145,-37.6368,30.36,91,100,4.43,overcast clouds
