WeatherPy_Database.csv,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,74.5,39,0,9.53,clear sky
1,Longyearbyen,SJ,78.2186,15.6401,22.84,68,75,9.22,light shower snow
2,Chuy,UY,-33.6971,-53.4616,56.19,77,89,5.03,overcast clouds
3,Eresos,GR,39.1667,25.9333,54.36,52,0,4.07,clear sky
4,Kavaratti,IN,10.5669,72.642,85.17,72,100,6.22,overcast clouds
5,Ushuaia,AR,-54.8,-68.3,40.66,70,75,19.57,broken clouds
6,Norman Wells,CA,65.282,-126.8329,9.77,91,18,6.89,few clouds
7,Fort Nelson,CA,58.8053,-122.7002,-0.45,98,68,2.15,broken clouds
8,Buala,SB,-8.145,159.5921,82.36,75,93,8.72,overcast clouds
9,Ixtapa,MX,20.7,-105.2,75.22,88,14,1.01,few clouds
10,Buritizeiro,BR,-17.3511,-44.9622,70.21,90,77,2.17,broken clouds
11,Provideniya,RU,64.3833,-173.3,17.98,91,86,17.29,overcast clouds
12,Barrow,US,71.2906,-156.7887,-2.18,71,0,6.91,clear sky
13,Hobart,AU,-42.8794,147.3294,67.01,53,20,10.36,few clouds
14,East London,ZA,-33.0153,27.9116,70.52,83,58,3.69,broken clouds
15,Albany,US,42.6001,-73.9662,45.91,57,100,2.66,overcast clouds
16,Yellowknife,CA,62.456,-114.3525,-12.41,97,20,5.19,few clouds
17,Zhigansk,RU,66.7697,123.3711,15.78,77,61,5.41,broken clouds
18,Aguimes,ES,27.9054,-15.4461,61.43,68,20,15.01,few clouds
19,Kulhudhuffushi,MV,6.6221,73.07,84.67,71,79,7.92,broken clouds
20,Bustamante,MX,26.5333,-100.5,70.97,80,0,11.59,clear sky
21,Torbay,CA,47.6666,-52.7314,35.58,91,100,18.41,light shower snow
22,Rikitea,PF,-23.1203,-134.9692,79.23,70,3,20.29,clear sky
23,Hermanus,ZA,-34.4187,19.2345,65.44,84,100,0.89,overcast clouds
24,Ancud,CL,-41.8697,-73.8203,50.23,87,78,1.74,broken clouds
25,Derzhavinsk,KZ,51.1,66.3167,58.1,59,50,12.86,scattered clouds
26,Nikolsk,RU,53.7189,46.0712,52.23,76,94,9.55,overcast clouds
27,Mount Isa,AU,-20.7333,139.5,96.57,19,16,16.11,few clouds
28,Kharovsk,RU,59.9642,40.1912,33.49,98,100,6.35,light snow
29,Lopukhiv,UA,48.3653,23.9638,39.51,65,0,2.95,clear sky
30,Bluff,NZ,-46.6,168.3333,52.81,65,81,9.69,broken clouds
31,Polunochnoye,RU,60.8697,60.4153,38.97,100,97,4.09,overcast clouds
32,Port Elizabeth,ZA,-33.918,25.5701,74.32,76,0,5.75,clear sky
33,Elektrenai,LT,54.7667,24.6333,49.91,59,7,4.99,clear sky
34,Vaini,TO,-21.2,-175.2,77.16,100,20,4.61,few clouds
35,Bredasdorp,ZA,-34.5322,20.0403,67.93,74,19,3.56,few clouds
36,San Patricio,US,28.017,-97.5169,76.89,91,66,17.25,broken clouds
37,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,88,100,16.06,overcast clouds
38,Kapaa,US,22.0752,-159.319,76.98,91,20,10.36,few clouds
39,Necochea,AR,-38.5473,-58.7368,48.78,83,4,11.1,clear sky
40,New Norfolk,AU,-42.7826,147.0587,66.65,48,81,4.0,broken clouds
41,Saskylakh,RU,71.9167,114.0833,4.19,92,90,10.96,overcast clouds
42,Bairiki,KI,1.3292,172.9752,80.6,83,20,9.22,few clouds
43,Puerto Ayora,EC,-0.7393,-90.3518,76.12,91,99,4.99,overcast clouds
44,Praia Da Vitoria,PT,38.7333,-27.0667,61.75,91,100,27.51,overcast clouds
45,Gberia Fotombu,SL,9.8833,-11.1667,72.03,88,100,6.46,overcast clouds
46,Ilulissat,GL,69.2167,-51.1,21.22,93,75,10.36,broken clouds
47,Tezu,IN,27.9167,96.1667,81.61,60,91,2.48,overcast clouds
48,Alta Floresta,BR,-9.8756,-56.0861,69.8,98,81,2.82,broken clouds
49,Camargo,MX,27.6667,-105.1667,62.13,27,0,12.21,clear sky
50,Dikson,RU,73.5069,80.5464,28.42,95,100,13.13,light snow
51,Sovetskiy,RU,61.3614,63.5842,45.21,70,100,8.9,overcast clouds
52,Butaritari,KI,3.0707,172.7902,81.86,77,13,14.34,few clouds
53,Puerto Colombia,CO,10.9878,-74.9547,79.59,81,100,22.24,overcast clouds
54,Camopi,GF,3.1655,-52.3158,71.29,99,99,1.68,overcast clouds
55,Gunjur,GM,13.2019,-16.7339,66.27,94,75,9.22,broken clouds
56,Jamestown,US,42.097,-79.2353,54.72,57,0,6.91,clear sky
57,Mahebourg,MU,-20.4081,57.7,83.25,44,40,16.11,scattered clouds
58,Cape Town,ZA,-33.9258,18.4232,66.9,88,100,10.36,fog
59,Atuona,PF,-9.8,-139.0333,79.14,81,81,18.7,light rain
60,Qaanaaq,GL,77.484,-69.3632,-1.28,98,100,2.17,overcast clouds
61,Yeppoon,AU,-23.1333,150.7333,82.18,66,1,13.11,clear sky
62,Hasaki,JP,35.7333,140.8333,79.29,83,100,20.0,overcast clouds
63,Batticaloa,LK,7.7102,81.6924,85.48,69,95,7.52,light rain
64,Yulara,AU,-25.2406,130.9889,90.82,22,100,1.48,overcast clouds
65,Mataura,NZ,-46.1927,168.8643,52.48,88,24,1.99,few clouds
66,Mar Del Plata,AR,-38.0023,-57.5575,51.1,86,0,11.01,clear sky
67,Souillac,MU,-20.5167,57.5167,79.5,78,77,19.95,light rain
68,Puerto Narino,CO,-3.7703,-70.3831,72.95,98,100,0.74,overcast clouds
69,Kabo,CF,7.6994,18.629,84.27,50,92,5.66,overcast clouds
70,Severo-Kurilsk,RU,50.6789,156.125,30.96,86,100,9.64,overcast clouds
71,Saint-Philippe,RE,-21.3585,55.7679,82.22,85,62,14.47,light rain
72,Beloha,MG,-25.1667,45.05,83.59,48,77,12.77,broken clouds
73,Hilo,US,19.7297,-155.09,73.27,90,100,6.91,light rain
74,Nikolskoye,RU,59.7035,30.7861,43.88,69,6,4.76,clear sky
75,Misratah,LY,32.3754,15.0925,62.74,72,82,21.47,broken clouds
76,Kodiak,US,57.79,-152.4072,38.71,70,100,9.22,overcast clouds
77,Kaohsiung,TW,22.6163,120.3133,84.29,72,40,14.97,scattered clouds
78,Niltepec,MX,16.5667,-94.6167,77.34,77,91,5.03,overcast clouds
79,Ribeira Grande,PT,38.5167,-28.7,63.0,82,75,18.41,broken clouds
80,Iskateley,RU,67.6803,53.1512,30.94,89,100,6.24,overcast clouds
81,Upernavik,GL,72.7868,-56.1549,3.52,96,100,8.34,overcast clouds
82,Cabo San Lucas,MX,22.8909,-109.9124,66.61,75,6,14.0,clear sky
83,Fairview,US,40.8126,-73.999,56.25,72,0,4.61,clear sky
84,Punta Arenas,CL,-53.15,-70.9167,46.51,66,40,33.38,scattered clouds
85,Trinidad,BO,-14.8333,-64.9,73.45,97,31,4.61,scattered clouds
86,Denpasar,ID,-8.65,115.2167,89.26,66,20,9.22,few clouds
87,Teluk Nibung,ID,3.001,99.8164,87.98,59,94,8.32,overcast clouds
88,Thompson,CA,55.7435,-97.8558,22.06,93,100,10.18,overcast clouds
89,Brae,GB,60.3964,-1.353,43.38,91,100,14.9,overcast clouds
90,Creel,MX,27.75,-107.6333,38.43,79,0,10.71,clear sky
91,Daltenganj,IN,24.0333,84.0667,109.62,8,35,11.18,scattered clouds
92,Tasiilaq,GL,65.6145,-37.6368,26.76,74,100,7.87,overcast clouds
93,Lohja,FI,60.2486,24.0653,43.18,66,100,4.16,overcast clouds
94,Rota,ES,36.6224,-6.3586,53.73,100,0,3.44,clear sky
95,Acapulco,MX,16.8634,-99.8901,78.62,83,100,3.44,overcast clouds
96,Alofi,NU,-19.0595,-169.9187,76.89,94,19,0.0,few clouds
97,Klyuchi,RU,52.2667,79.1667,56.79,37,0,20.2,clear sky
98,Georgetown,MY,5.4112,100.3354,89.53,66,20,4.61,thunderstorm
99,Lebu,CL,-37.6167,-73.65,48.07,84,7,16.31,clear sky
100,Qasigiannguit,GL,68.8193,-51.1922,21.45,95,100,4.52,overcast clouds
101,Zeya,RU,53.75,127.2667,36.72,30,100,10.0,overcast clouds
102,Intipuca,SV,13.1969,-88.0544,78.39,71,83,2.93,broken clouds
103,Abu Samrah,SY,35.3029,37.1841,56.16,44,0,5.32,clear sky
104,Olafsvik,IS,64.8945,-23.7142,37.36,70,100,8.81,overcast clouds
105,Daund,IN,18.4667,74.6,99.54,13,100,1.74,overcast clouds
106,Tukrah,LY,32.5341,20.5791,65.8,44,100,12.3,overcast clouds
107,Padilla,CO,3.2204,-76.3139,71.17,91,100,3.53,overcast clouds
108,Carnarvon,AU,-24.8667,113.6333,78.87,57,0,23.02,clear sky
109,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.51,88,100,8.32,overcast clouds
110,Catio,GW,11.2833,-15.25,71.37,82,100,3.15,overcast clouds
111,Aden,YE,12.7794,45.0367,84.61,65,0,10.89,clear sky
112,Kalmunai,LK,7.4167,81.8167,86.67,66,97,9.64,overcast clouds
113,Tromso,NO,69.6496,18.957,39.38,75,75,4.61,broken clouds
114,Shenjiamen,CN,29.9576,122.298,62.33,97,98,9.19,overcast clouds
115,Qandala,SO,11.472,49.8728,91.8,35,4,6.06,clear sky
116,Axim,GH,4.8699,-2.2405,80.15,78,100,2.39,moderate rain
117,Castro,BR,-24.7911,-50.0119,61.36,99,78,2.55,broken clouds
118,Medea,DZ,36.2642,2.7539,48.6,98,100,6.89,overcast clouds
119,Katsuura,JP,35.1333,140.3,67.87,89,100,13.06,overcast clouds
120,Monrovia,LR,6.3005,-10.7969,71.37,87,100,7.25,overcast clouds
121,Yar-Sale,RU,66.8333,70.8333,34.65,100,100,6.04,light snow
122,Tuktoyaktuk,CA,69.4541,-133.0374,16.59,95,100,9.51,overcast clouds
123,Hualmay,PE,-11.0964,-77.6139,65.62,87,17,9.31,few clouds
124,Acajutla,SV,13.5928,-89.8275,80.65,81,51,6.31,broken clouds
125,Cortez,US,37.3489,-108.5859,27.36,60,75,4.61,broken clouds
126,Las Vegas,US,36.175,-115.1372,52.16,14,0,5.75,clear sky
127,Chapais,CA,49.7834,-74.8492,23.04,98,36,3.56,scattered clouds
128,Hofn,IS,64.2539,-15.2082,35.82,90,100,15.64,overcast clouds
129,Rundu,NA,-17.9333,19.7667,71.17,64,100,2.26,overcast clouds
